Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
1;aacC2;1;0;2;3;44.1;;85.31;;1.85;-1;
2;aacC2;0;0;3;3;;;;;;-1;NotInformative
3;aacC2;1;0;2;3;42.24;;82.01;;2.51;-1;
000NTC;aacC2;0;0;1;1;;;;;;-1;NotInformative
GENO;aacC2;0;0;2;2;;;;;;-1;NotInformative
1;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
2;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
3;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacA/aphD;0;0;1;1;;;;;;-1;NotInformative
GENO;aacA/aphD;0;0;2;2;;;;;;-1;NotInformative
1;aac(6')-II;2;0;1;3;32.95;3.6;88.1;5.13;1.79;-1;MultipleMeltPeaks
2;aac(6')-II;2;0;1;3;38.86;2.74;90.44;1.64;1.71;-1;
3;aac(6')-II;2;0;1;3;37.69;1.58;87.97;4.29;1.78;-1;MultipleMeltPeaks
000NTC;aac(6')-II;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-II;0;0;2;2;;;;;;-1;NotInformative
1;aphA3;2;0;1;3;33.19;1.77;88.81;0.05;1.87;-1;
2;aphA3;0;0;3;3;;;;;;-1;NotInformative
3;aphA3;0;0;3;3;;;;;;-1;NotInformative
000NTC;aphA3;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA3;0;0;2;2;;;;;;-1;NotInformative
1;sat4;0;0;3;3;;;;;;-1;NotInformative
2;sat4;0;0;3;3;;;;;;-1;NotInformative
3;sat4;0;0;3;3;;;;;;-1;NotInformative
000NTC;sat4;0;0;1;1;;;;;;-1;NotInformative
GENO;sat4;0;0;2;2;;;;;;-1;NotInformative
1;aac(6')-Ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
2;aac(6')-Ib;0;0;3;3;;;;;;-1;NotInformative
3;aac(6')-Ib;1;0;2;3;42.33;;88.4;;1.64;-1;
000NTC;aac(6')-Ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-Ib;0;0;2;2;;;;;;-1;NotInformative
1;aadA2a;1;0;2;3;32.25;;90.38;;1.84;-1;MultipleMeltPeaks
2;aadA2a;2;0;1;3;36.17;2.7;90.48;0.04;1.75;-1;MultipleMeltPeaks
3;aadA2a;3;0;0;3;33.62;1.46;91.4;0.32;1.82;-1;
000NTC;aadA2a;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2a;0;0;2;2;;;;;;-1;NotInformative
1;aadA5;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
2;aadA5;0;0;3;3;;;;;;-1;NotInformative
3;aadA5;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadA5;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA5;0;0;2;2;;;;;;-1;NotInformative
1;aadA_99;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
2;aadA_99;1;0;2;3;35.81;;83.67;;1.71;-1;MultipleMeltPeaks
3;aadA_99;3;0;0;3;40.79;2.49;87.94;3.5;1.76;-1;
000NTC;aadA_99;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA_99;0;0;2;2;;;;;;-1;NotInformative
1;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
2;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
3;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph(2')-Id;0;0;1;1;;;;;;-1;NotInformative
GENO;aph(2')-Id;0;0;2;2;;;;;;-1;NotInformative
1;aadD;1;0;2;3;37.94;;92.12;;1.74;-1;MultipleMeltPeaks
2;aadD;2;0;1;3;40.82;3.24;89.43;2.53;1.75;-1;MultipleMeltPeaks
3;aadD;1;0;2;3;34.99;;91.67;;1.75;-1;
000NTC;aadD;0;0;1;1;;;;;;-1;NotInformative
GENO;aadD;0;0;2;2;;;;;;-1;NotInformative
1;aadA2b;0;0;3;3;;;;;;-1;NotInformative
2;aadA2b;0;0;3;3;;;;;;-1;NotInformative
3;aadA2b;1;0;2;3;41.49;;90.28;;1.45;-1;
000NTC;aadA2b;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2b;0;0;2;2;;;;;;-1;NotInformative
1;aadA9;1;0;2;3;33.38;;90.64;;1.79;-1;MultipleMeltPeaks
2;aadA9;2;0;1;3;32.83;1.84;91.24;1.72;1.8;-1;MultipleMeltPeaks
3;aadA9;2;0;1;3;32.13;1.5;91.48;0.06;1.83;-1;MultipleMeltPeaks
000NTC;aadA9;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA9;0;0;2;2;;;;;;-1;NotInformative
1;aphA1;0;0;3;3;;;;;;-1;NotInformative
2;aphA1;0;0;3;3;;;;;;-1;NotInformative
3;aphA1;0;0;3;3;;;;;;-1;NotInformative
000NTC;aphA1;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA1;1;0;1;2;28.07;;76.24;;1.98;-1;
1;aadE;1;0;2;3;34.2;;72.71;;1.53;-1;
2;aadE;1;0;2;3;37.23;;73.78;;1.95;-1;
3;aadE;0;0;3;3;;;;;;-1;NotInformative
