Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
16;aacC2;0;0;3;3;;;;;;-1;NotInformative
17;aacC2;0;0;3;3;;;;;;-1;NotInformative
18;aacC2;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacC2;0;0;1;1;;;;;;-1;NotInformative
GENO;aacC2;0;0;2;2;;;;;;-1;NotInformative
16;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
17;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
18;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacA/aphD;0;0;1;1;;;;;;-1;NotInformative
GENO;aacA/aphD;0;0;2;2;;;;;;-1;NotInformative
16;aac(6')-II;0;0;3;3;;;;;;-1;NotInformative
17;aac(6')-II;0;0;3;3;;;;;;-1;NotInformative
18;aac(6')-II;0;0;3;3;;;;;;-1;NotInformative
000NTC;aac(6')-II;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-II;0;0;2;2;;;;;;-1;NotInformative
16;aphA3;0;0;3;3;;;;;;-1;NotInformative
17;aphA3;0;0;3;3;;;;;;-1;NotInformative
18;aphA3;0;0;3;3;;;;;;-1;NotInformative
000NTC;aphA3;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA3;0;0;2;2;;;;;;-1;NotInformative
16;sat4;0;0;3;3;;;;;;-1;NotInformative
17;sat4;0;0;3;3;;;;;;-1;NotInformative
18;sat4;0;0;3;3;;;;;;-1;NotInformative
000NTC;sat4;0;0;1;1;;;;;;-1;NotInformative
GENO;sat4;0;0;2;2;;;;;;-1;NotInformative
16;aac(6')-Ib;1;0;2;3;40.8;;77.89;;1.85;-1;MultipleMeltPeaks
17;aac(6')-Ib;2;0;1;3;38.52;1.72;87.87;0.37;1.77;-1;MultipleMeltPeaks
18;aac(6')-Ib;2;0;1;3;37.6;0.59;90.4;0.2;1.79;-1;MultipleMeltPeaks
000NTC;aac(6')-Ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-Ib;0;0;2;2;;;;;;-1;NotInformative
16;aadA2a;0;0;3;3;;;;;;-1;NotInformative
17;aadA2a;1;0;2;3;38.24;;87.07;;1.77;-1;MultipleMeltPeaks
18;aadA2a;1;0;2;3;41.42;;88.44;;1.8;-1;MultipleMeltPeaks
000NTC;aadA2a;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2a;0;0;2;2;;;;;;-1;NotInformative
16;aadA5;0;0;3;3;;;;;;-1;NotInformative
17;aadA5;1;0;2;3;34.48;;84.76;;1.76;-1;
18;aadA5;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadA5;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA5;0;0;2;2;;;;;;-1;NotInformative
16;aadA_99;0;0;3;3;;;;;;-1;NotInformative
17;aadA_99;0;0;3;3;;;;;;-1;NotInformative
18;aadA_99;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadA_99;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA_99;0;0;2;2;;;;;;-1;NotInformative
16;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
17;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
18;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph(2')-Id;0;0;1;1;;;;;;-1;NotInformative
GENO;aph(2')-Id;0;0;2;2;;;;;;-1;NotInformative
16;aadD;0;0;3;3;;;;;;-1;NotInformative
17;aadD;0;0;3;3;;;;;;-1;NotInformative
18;aadD;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadD;0;0;1;1;;;;;;-1;NotInformative
GENO;aadD;0;0;2;2;;;;;;-1;NotInformative
16;aadA2b;2;0;1;3;35.85;5.97;75.92;0.52;1.86;-1;
17;aadA2b;0;0;3;3;;;;;;-1;NotInformative
18;aadA2b;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadA2b;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2b;0;0;2;2;;;;;;-1;NotInformative
16;aadA9;2;0;1;3;37.7;0.4;86.87;2.42;1.79;-1;MultipleMeltPeaks
17;aadA9;1;0;2;3;37.18;;89.97;;1.81;-1;MultipleMeltPeaks
18;aadA9;2;0;1;3;36.92;0.88;89.55;0.04;1.68;-1;
000NTC;aadA9;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA9;0;0;2;2;;;;;;-1;NotInformative
16;aphA1;0;0;3;3;;;;;;-1;NotInformative
17;aphA1;0;0;3;3;;;;;;-1;NotInformative
18;aphA1;0;0;3;3;;;;;;-1;NotInformative
000NTC;aphA1;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA1;0;0;2;2;;;;;;-1;NotInformative
16;aadE;0;0;3;3;;;;;;-1;NotInformative
17;aadE;0;0;3;3;;;;;;-1;NotInformative
18;aadE;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadE;0;0;1;1;;;;;;-1;NotInformative
GENO;aadE;0;0;2;2;;;;;;-1;NotInformative
16;str;0;0;3;3;;;;;;-1;NotInformative
17;str;0;0;3;3;;;;;;-1;NotInformative
18;str;0;0;3;3;;;;;;-1;NotInformative
000NTC;str;0;0;1;1;;;;;;-1;NotInformative
GENO;str;0;0;2;2;;;;;;-1;NotInformative
16;strA;0;0;3;3;;;;;;-1;NotInformative
17;strA;0;0;3;3;;;;;;-1;NotInformative
18;strA;0;0;3;3;;;;;;-1;NotInformative
000NTC;strA;0;0;1;1;;;;;;-1;NotInformative
GENO;strA;0;0;2;2;;;;;;-1;NotInformative
16;aac3ia;3;0;0;3;27.21;0.38;90.87;0.21;1.92;-1;
17;aac3ia;3;0;0;3;25.84;0.12;91.03;0.11;1.92;-1;
18;aac3ia;3;0;0;3;26.39;0.29;91.57;0.45;1.92;-1;
000NTC;aac3ia;0;0;1;1;;;;;;-1;NotInformative
GENO;aac3ia;0;0;2;2;;;;;;-1;NotInformative
16;aph4ib;2;1;0;3;25.26;0.00728;91.48;0.03;2.03;-1;ContainsOutlierReplicateCt
17;aph4ib;3;0;0;3;24.12;0.69;90.85;0.23;1.97;-1;
18;aph4ib;3;0;0;3;25.29;1.94;90.71;0.07;1.95;-1;
000NTC;aph4ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aph4ib;0;0;2;2;;;;;;-1;NotInformative
16;aph3via;0;0;3;3;;;;;;-1;NotInformative
17;aph3via;0;0;3;3;;;;;;-1;NotInformative
18;aph3via;2;0;1;3;34.93;3.42;85.09;0.02;1.88;-1;
000NTC;aph3via;1;0;0;1;39.14;;69.27;;1.82;-1;
GENO;aph3via;0;0;2;2;;;;;;-1;NotInformative
16;aph6ic;2;1;0;3;25.82;0.11;90.64;0.12;2.03;-1;ContainsOutlierReplicateCt
17;aph6ic;3;0;0;3;25.63;0.9;90.55;0.31;2.03;-1;
18;aph6ic;2;1;0;3;26.95;0.21;89.65;0.41;2.02;-1;ContainsOutlierReplicateCt
000NTC;aph6ic;0;0;1;1;;;;;;-1;NotInformative
GENO;aph6ic;0;0;2;2;;;;;;-1;NotInformative
16;ArmA;1;0;2;3;41.11;;72.9;;1.63;-1;MultipleMeltPeaks
17;ArmA;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
