Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
4;aacC2;0;0;3;3;;;;;;-1;NotInformative
5;aacC2;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
6;aacC2;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacC2;0;0;1;1;;;;;;-1;NotInformative
GENO;aacC2;0;0;2;2;;;;;;-1;NotInformative
4;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
5;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
6;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacA/aphD;0;0;1;1;;;;;;-1;NotInformative
GENO;aacA/aphD;0;0;2;2;;;;;;-1;NotInformative
4;aac(6')-II;1;0;2;3;38.34;;83.56;;1.84;-1;MultipleMeltPeaks
5;aac(6')-II;1;0;2;3;38.43;;89.47;;1.86;-1;MultipleMeltPeaks
6;aac(6')-II;2;0;1;3;40.61;3.46;87.44;5.83;1.83;-1;MultipleMeltPeaks
000NTC;aac(6')-II;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-II;0;0;2;2;;;;;;-1;NotInformative
4;aphA3;2;0;1;3;38.61;3.03;91.03;0.14;1.8;-1;MultipleMeltPeaks
5;aphA3;1;0;2;3;34.04;;91.64;;1.85;-1;MultipleMeltPeaks
6;aphA3;0;0;3;3;;;;;;-1;NotInformative
000NTC;aphA3;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA3;0;0;2;2;;;;;;-1;NotInformative
4;sat4;0;0;3;3;;;;;;-1;NotInformative
5;sat4;0;0;3;3;;;;;;-1;NotInformative
6;sat4;0;0;3;3;;;;;;-1;NotInformative
000NTC;sat4;0;0;1;1;;;;;;-1;NotInformative
GENO;sat4;0;0;2;2;;;;;;-1;NotInformative
4;aac(6')-Ib;1;0;2;3;40.62;;88;;1.74;-1;MultipleMeltPeaks
5;aac(6')-Ib;2;0;1;3;38.47;2.51;82.63;6.17;1.77;-1;MultipleMeltPeaks
6;aac(6')-Ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(6')-Ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-Ib;0;0;2;2;;;;;;-1;NotInformative
4;aadA2a;2;0;1;3;40.66;2.9;91.12;0.17;1.74;-1;MultipleMeltPeaks
5;aadA2a;2;1;0;3;34.55;0.34;91.92;0.47;1.83;-1;ContainsOutlierReplicateCt
6;aadA2a;2;0;1;3;35.89;0.32;92.32;0.06;1.79;-1;MultipleMeltPeaks
000NTC;aadA2a;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2a;0;0;2;2;;;;;;-1;NotInformative
4;aadA5;0;0;3;3;;;;;;-1;NotInformative
5;aadA5;0;0;3;3;;;;;;-1;NotInformative
6;aadA5;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadA5;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA5;1;0;1;2;36.17;;76.2;;1.86;-1;
4;aadA_99;3;0;0;3;35.79;4.95;85.57;4.48;1.85;-1;
5;aadA_99;2;0;1;3;37.75;4.69;87.79;3.93;1.81;-1;MultipleMeltPeaks
