Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
25;aacC2;2;0;1;3;23.78;0.37;90.51;1.13;1.84;-1;MultipleMeltPeaks
26;aacC2;1;0;2;3;25.02;;90.53;;1.87;-1;MultipleMeltPeaks
27;aacC2;2;0;1;3;22.51;0.29;91.15;1.13;1.83;-1;MultipleMeltPeaks
000NTC;aacC2;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aacC2;0;0;2;2;;;;;;-1;MultipleMeltPeaks, NotInformative
25;aacA/aphD;3;0;0;3;26.05;0.38;83.8;7.47;2.02;-1;
26;aacA/aphD;1;0;2;3;27.84;;89.96;;2.02;-1;MultipleMeltPeaks
27;aacA/aphD;2;0;1;3;26.24;0.39;88.95;1.4;1.91;-1;MultipleMeltPeaks
000NTC;aacA/aphD;1;0;0;1;25.69;;88.33;;1.92;-1;
GENO;aacA/aphD;1;0;1;2;24.85;;74.49;;1.83;-1;MultipleMeltPeaks
25;aac(6')-II;3;0;0;3;18.8;0.03;90.77;0.26;1.89;-1;
26;aac(6')-II;3;0;0;3;19.33;0.55;90.81;0.42;1.91;-1;
27;aac(6')-II;2;0;1;3;18.9;0.16;90.75;0.02;1.84;-1;MultipleMeltPeaks
000NTC;aac(6')-II;1;0;0;1;23.95;;91.27;;1.89;-1;
GENO;aac(6')-II;2;0;0;2;21.32;2.82;90.92;0.36;1.85;-1;
25;aphA3;1;0;2;3;20.21;;91.79;;1.9;-1;MultipleMeltPeaks
26;aphA3;3;0;0;3;21.3;0.3;91.86;0.11;1.85;-1;
27;aphA3;3;0;0;3;20.32;0.14;91.58;0.06;1.83;-1;
000NTC;aphA3;1;0;0;1;21.63;;92.19;;1.83;-1;
GENO;aphA3;2;0;0;2;25.47;3.71;91.48;0.06;1.78;-1;
25;sat4;2;0;1;3;28.94;0.49;74.59;0.81;1.88;-1;MultipleMeltPeaks
26;sat4;2;0;1;3;33.25;6.55;86.95;2.08;1.81;-1;MultipleMeltPeaks
