Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
7;aacC2;0;0;3;3;;;;;;-1;NotInformative
8;aacC2;0;0;3;3;;;;;;-1;NotInformative
9;aacC2;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacC2;0;0;1;1;;;;;;-1;NotInformative
GENO;aacC2;0;0;2;2;;;;;;-1;NotInformative
7;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
8;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
9;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacA/aphD;0;0;1;1;;;;;;-1;NotInformative
GENO;aacA/aphD;0;0;2;2;;;;;;-1;NotInformative
7;aac(6')-II;0;0;3;3;;;;;;-1;NotInformative
8;aac(6')-II;0;0;3;3;;;;;;-1;NotInformative
9;aac(6')-II;0;0;3;3;;;;;;-1;NotInformative
000NTC;aac(6')-II;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-II;0;0;2;2;;;;;;-1;NotInformative
7;aphA3;0;0;3;3;;;;;;-1;NotInformative
8;aphA3;0;0;3;3;;;;;;-1;NotInformative
9;aphA3;1;0;2;3;43;;90.01;;1.82;-1;
000NTC;aphA3;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA3;0;0;2;2;;;;;;-1;NotInformative
7;sat4;0;0;3;3;;;;;;-1;NotInformative
8;sat4;0;0;3;3;;;;;;-1;NotInformative
9;sat4;0;0;3;3;;;;;;-1;NotInformative
000NTC;sat4;0;0;1;1;;;;;;-1;NotInformative
GENO;sat4;0;0;2;2;;;;;;-1;NotInformative
7;aac(6')-Ib;2;0;1;3;39.26;0.99;90.33;0.07;1.76;-1;MultipleMeltPeaks
8;aac(6')-Ib;3;0;0;3;35.12;0.97;90.24;0.74;1.81;-1;
9;aac(6')-Ib;3;0;0;3;32.78;1.05;90.74;0.58;1.8;-1;
000NTC;aac(6')-Ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-Ib;0;0;2;2;;;;;;-1;NotInformative
7;aadA2a;1;0;2;3;38.84;;84.26;;1.73;-1;MultipleMeltPeaks
8;aadA2a;2;0;1;3;36.08;1.86;91.96;1.74;1.79;-1;MultipleMeltPeaks
9;aadA2a;2;0;1;3;34.2;0.92;91.05;0.2;1.8;-1;MultipleMeltPeaks
000NTC;aadA2a;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2a;0;0;2;2;;;;;;-1;NotInformative
7;aadA5;0;0;3;3;;;;;;-1;NotInformative
8;aadA5;1;0;2;3;38.61;;87.83;;1.79;-1;
9;aadA5;1;0;2;3;40.03;;83.98;;1.83;-1;
000NTC;aadA5;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA5;0;0;2;2;;;;;;-1;NotInformative
7;aadA_99;0;0;3;3;;;;;;-1;NotInformative
8;aadA_99;0;0;3;3;;;;;;-1;NotInformative
9;aadA_99;3;0;0;3;40.85;3.49;86.41;0.94;1.74;-1;
000NTC;aadA_99;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA_99;0;0;2;2;;;;;;-1;NotInformative
7;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
8;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
9;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph(2')-Id;0;0;1;1;;;;;;-1;NotInformative
GENO;aph(2')-Id;0;0;2;2;;;;;;-1;NotInformative
7;aadD;1;0;2;3;39.7;;89.57;;1.78;-1;MultipleMeltPeaks
8;aadD;1;0;2;3;40.37;;88.42;;1.82;-1;MultipleMeltPeaks
9;aadD;1;0;2;3;43.32;;91.81;;1.72;-1;MultipleMeltPeaks
000NTC;aadD;0;0;1;1;;;;;;-1;NotInformative
GENO;aadD;0;0;2;2;;;;;;-1;NotInformative
7;aadA2b;2;0;1;3;39.48;0.09;86.57;3.52;1.82;-1;MultipleMeltPeaks
8;aadA2b;2;0;1;3;35.55;2.18;88.58;0.16;1.86;-1;MultipleMeltPeaks
9;aadA2b;1;0;2;3;39.66;;83.83;;1.85;-1;MultipleMeltPeaks
000NTC;aadA2b;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2b;0;0;2;2;;;;;;-1;NotInformative
7;aadA9;2;1;0;3;33.74;0.03;90.85;1.03;1.85;-1;ContainsOutlierReplicateCt
8;aadA9;2;0;1;3;31.96;1.58;90.39;0.98;1.86;-1;MultipleMeltPeaks
9;aadA9;3;0;0;3;31.32;1.31;89.67;0.5;1.84;-1;
000NTC;aadA9;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA9;0;0;2;2;;;;;;-1;NotInformative
7;aphA1;0;0;3;3;;;;;;-1;NotInformative
8;aphA1;0;0;3;3;;;;;;-1;NotInformative
9;aphA1;0;0;3;3;;;;;;-1;NotInformative
000NTC;aphA1;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA1;0;0;2;2;;;;;;-1;NotInformative
7;aadE;2;0;1;3;41.52;0.88;72.17;0.01;1.84;-1;
8;aadE;0;0;3;3;;;;;;-1;NotInformative
9;aadE;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadE;0;0;1;1;;;;;;-1;NotInformative
GENO;aadE;0;0;2;2;;;;;;-1;NotInformative
7;str;0;0;3;3;;;;;;-1;NotInformative
8;str;0;0;3;3;;;;;;-1;NotInformative
9;str;0;0;3;3;;;;;;-1;NotInformative
