Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
13;aacC2;0;0;3;3;;;;;;-1;NotInformative
14;aacC2;0;0;3;3;;;;;;-1;NotInformative
15;aacC2;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacC2;0;0;1;1;;;;;;-1;NotInformative
GENO;aacC2;0;0;2;2;;;;;;-1;NotInformative
13;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
14;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
15;aacA/aphD;1;0;2;3;34.73;;71.89;;2.18;-1;
000NTC;aacA/aphD;0;0;1;1;;;;;;-1;NotInformative
GENO;aacA/aphD;0;0;2;2;;;;;;-1;NotInformative
13;aac(6')-II;2;0;1;3;39.12;1;91;0.22;1.87;-1;MultipleMeltPeaks
14;aac(6')-II;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
15;aac(6')-II;1;0;2;3;34.3;;92.46;;1.8;-1;MultipleMeltPeaks
000NTC;aac(6')-II;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-II;0;0;2;2;;;;;;-1;NotInformative
13;aphA3;2;0;1;3;42.46;0.11;91.13;0.04;1.77;-1;
14;aphA3;0;0;3;3;;;;;;-1;NotInformative
15;aphA3;1;0;2;3;38.84;;79.94;;1.87;-1;MultipleMeltPeaks
000NTC;aphA3;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA3;0;0;2;2;;;;;;-1;NotInformative
13;sat4;0;0;3;3;;;;;;-1;NotInformative
14;sat4;0;0;3;3;;;;;;-1;NotInformative
15;sat4;0;0;3;3;;;;;;-1;NotInformative
000NTC;sat4;0;0;1;1;;;;;;-1;NotInformative
GENO;sat4;0;0;2;2;;;;;;-1;NotInformative
13;aac(6')-Ib;2;0;1;3;33.65;0.42;92.39;0.02;1.81;-1;MultipleMeltPeaks
14;aac(6')-Ib;1;0;2;3;37.49;;89.73;;1.82;-1;MultipleMeltPeaks
15;aac(6')-Ib;2;0;1;3;33.83;1.07;90.75;0.02;1.82;-1;MultipleMeltPeaks
000NTC;aac(6')-Ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-Ib;0;0;2;2;;;;;;-1;NotInformative
13;aadA2a;1;0;2;3;28.51;;91.08;;1.85;-1;MultipleMeltPeaks
14;aadA2a;1;0;2;3;36.47;;87.08;;1.8;-1;MultipleMeltPeaks
15;aadA2a;3;0;0;3;36.07;3.07;91.15;0.22;1.83;-1;
000NTC;aadA2a;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2a;0;0;2;2;;;;;;-1;NotInformative
13;aadA5;0;0;3;3;;;;;;-1;NotInformative
14;aadA5;0;0;3;3;;;;;;-1;NotInformative
15;aadA5;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadA5;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA5;0;0;2;2;;;;;;-1;NotInformative
13;aadA_99;1;0;2;3;43.99;;86.65;;1.76;-1;MultipleMeltPeaks
14;aadA_99;0;0;3;3;;;;;;-1;NotInformative
15;aadA_99;1;0;2;3;36.64;;92.38;;1.81;-1;MultipleMeltPeaks
000NTC;aadA_99;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA_99;0;0;2;2;;;;;;-1;NotInformative
13;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
14;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
15;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph(2')-Id;0;0;1;1;;;;;;-1;NotInformative
GENO;aph(2')-Id;0;0;2;2;;;;;;-1;NotInformative
13;aadD;0;0;3;3;;;;;;-1;NotInformative
14;aadD;0;0;3;3;;;;;;-1;NotInformative
15;aadD;2;0;1;3;42.21;3.92;88.69;9.38E-03;1.8;-1;
000NTC;aadD;0;0;1;1;;;;;;-1;NotInformative
GENO;aadD;0;0;2;2;;;;;;-1;NotInformative
13;aadA2b;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
14;aadA2b;2;0;1;3;33.08;6.4;85.65;6.46;1.86;-1;
15;aadA2b;2;0;1;3;40.97;0.24;88.16;1.29;1.82;-1;MultipleMeltPeaks
000NTC;aadA2b;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2b;1;0;1;2;39.39;;75.23;;1.93;-1;
13;aadA9;0;0;3;3;;;;;;-1;NotInformative
14;aadA9;0;0;3;3;;;;;;-1;NotInformative
15;aadA9;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadA9;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA9;0;0;2;2;;;;;;-1;NotInformative
13;aphA1;0;0;3;3;;;;;;-1;NotInformative
14;aphA1;0;0;3;3;;;;;;-1;NotInformative
15;aphA1;0;0;3;3;;;;;;-1;NotInformative
000NTC;aphA1;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA1;0;0;2;2;;;;;;-1;NotInformative
13;aadE;0;0;3;3;;;;;;-1;NotInformative
14;aadE;0;0;3;3;;;;;;-1;NotInformative
15;aadE;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadE;0;0;1;1;;;;;;-1;NotInformative
GENO;aadE;0;0;2;2;;;;;;-1;NotInformative
13;str;0;0;3;3;;;;;;-1;NotInformative
14;str;0;0;3;3;;;;;;-1;NotInformative
15;str;0;0;3;3;;;;;;-1;NotInformative
000NTC;str;0;0;1;1;;;;;;-1;NotInformative
GENO;str;0;0;2;2;;;;;;-1;NotInformative
13;strA;0;0;3;3;;;;;;-1;NotInformative
14;strA;0;0;3;3;;;;;;-1;NotInformative
15;strA;0;0;3;3;;;;;;-1;NotInformative
000NTC;strA;0;0;1;1;;;;;;-1;NotInformative
GENO;strA;0;0;2;2;;;;;;-1;NotInformative
13;aac3ia;2;0;1;3;32.64;1.68;92.31;0.62;1.93;-1;MultipleMeltPeaks
14;aac3ia;2;0;1;3;39.55;2.76;91.29;0.18;1.79;-1;MultipleMeltPeaks
15;aac3ia;3;0;0;3;32.15;1.75;90.46;1.97;1.88;-1;
000NTC;aac3ia;0;0;1;1;;;;;;-1;NotInformative
GENO;aac3ia;0;0;2;2;;;;;;-1;NotInformative
13;aph4ib;3;0;0;3;26.78;1.01;91.69;0.54;1.96;-1;
14;aph4ib;3;0;0;3;31.14;2.38;89.66;2.86;1.88;-1;
15;aph4ib;3;0;0;3;26.84;0.44;91.45;0.58;1.98;-1;
