Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
19;aacC2;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aacC2;2;0;1;3;25.91;0.37;91.08;0.72;1.86;-1;MultipleMeltPeaks
21;aacC2;1;0;2;3;25.64;;91.32;;1.98;-1;MultipleMeltPeaks
000NTC;aacC2;1;0;0;1;30.3;;75.98;;1.72;-1;
GENO;aacC2;2;0;0;2;31.18;2.68;78.47;2.03;1.33;-1;
19;aacA/aphD;1;0;2;3;26.04;;93.09;;1.75;-1;MultipleMeltPeaks
20;aacA/aphD;1;0;2;3;25.97;;81.23;;1.84;-1;MultipleMeltPeaks
21;aacA/aphD;3;0;0;3;25.66;0.11;81.17;0.21;1.69;-1;
000NTC;aacA/aphD;1;0;0;1;25.81;;74.86;;1.8;-1;
GENO;aacA/aphD;2;0;0;2;25.53;1.25;74.73;9.79E-03;1.82;-1;
19;aac(6')-II;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
20;aac(6')-II;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aac(6')-II;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aac(6')-II;1;0;0;1;34.5;;77.23;;1.75;-1;
GENO;aac(6')-II;2;0;0;2;33.24;4.93;77.7;2.2;1.72;-1;
19;aphA3;1;0;2;3;21.36;;91.92;;1.89;-1;MultipleMeltPeaks
20;aphA3;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
21;aphA3;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;aphA3;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aphA3;1;0;1;2;37.47;;80.37;;1.81;-1;
19;sat4;3;0;0;3;29.52;1;73.73;0.66;1.76;-1;
20;sat4;2;0;1;3;28.93;0.65;74.02;0.41;1.78;-1;MultipleMeltPeaks
21;sat4;1;0;2;3;28.78;;74.15;;2;-1;MultipleMeltPeaks
