Sample;Assay;N;Outliers;Rejected;Total reps;Ct;Ct SD;Tm;Tm SD;Efficiency;Conc;Flags
10;aacC2;0;0;3;3;;;;;;-1;NotInformative
11;aacC2;0;0;3;3;;;;;;-1;NotInformative
12;aacC2;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacC2;0;0;1;1;;;;;;-1;NotInformative
GENO;aacC2;0;0;2;2;;;;;;-1;NotInformative
10;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
11;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
12;aacA/aphD;0;0;3;3;;;;;;-1;NotInformative
000NTC;aacA/aphD;0;0;1;1;;;;;;-1;NotInformative
GENO;aacA/aphD;0;0;2;2;;;;;;-1;NotInformative
10;aac(6')-II;1;0;2;3;38.46;;88.73;;1.82;-1;MultipleMeltPeaks
11;aac(6')-II;2;0;1;3;34.92;3.65;90.68;0.08;1.83;-1;MultipleMeltPeaks
12;aac(6')-II;2;0;1;3;34.39;1.54;85.63;0.06;1.89;-1;MultipleMeltPeaks
000NTC;aac(6')-II;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-II;0;0;2;2;;;;;;-1;NotInformative
10;aphA3;1;0;2;3;41.18;;88.68;;1.76;-1;MultipleMeltPeaks
11;aphA3;2;0;1;3;40.38;0.27;90.27;0.14;1.81;-1;MultipleMeltPeaks
12;aphA3;1;0;2;3;33.42;;87.06;;1.84;-1;MultipleMeltPeaks
000NTC;aphA3;0;0;1;1;;;;;;-1;MultipleMeltPeaks, NotInformative
GENO;aphA3;0;0;2;2;;;;;;-1;NotInformative
10;sat4;0;0;3;3;;;;;;-1;NotInformative
11;sat4;0;0;3;3;;;;;;-1;NotInformative
12;sat4;0;0;3;3;;;;;;-1;NotInformative
000NTC;sat4;0;0;1;1;;;;;;-1;NotInformative
GENO;sat4;0;0;2;2;;;;;;-1;NotInformative
10;aac(6')-Ib;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
11;aac(6')-Ib;2;0;1;3;30.18;2.88;89.91;1.04;1.81;-1;MultipleMeltPeaks
12;aac(6')-Ib;2;0;1;3;32.64;2.68;89.73;0.06;1.87;-1;MultipleMeltPeaks
000NTC;aac(6')-Ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(6')-Ib;0;0;2;2;;;;;;-1;NotInformative
10;aadA2a;2;0;1;3;37.32;1.28;91.67;2.25;1.8;-1;
11;aadA2a;2;0;1;3;37.5;1.48;89.95;1.02;1.82;-1;MultipleMeltPeaks
12;aadA2a;2;0;1;3;34.43;1.41;90.13;0.1;1.83;-1;MultipleMeltPeaks
000NTC;aadA2a;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2a;0;0;2;2;;;;;;-1;NotInformative
10;aadA5;2;0;1;3;42.7;0.86;84.46;8.49;1.79;-1;
11;aadA5;2;0;1;3;38.9;1.84;82.84;9.65;1.88;-1;MultipleMeltPeaks
12;aadA5;2;0;1;3;40.43;1.27;87.52;5.02;1.84;-1;MultipleMeltPeaks
000NTC;aadA5;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA5;0;0;2;2;;;;;;-1;NotInformative
10;aadA_99;0;0;3;3;;;;;;-1;NotInformative
11;aadA_99;1;0;2;3;39.29;;86.66;;1.76;-1;
12;aadA_99;1;0;2;3;40.89;;84.43;;1.87;-1;
000NTC;aadA_99;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA_99;0;0;2;2;;;;;;-1;NotInformative
10;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
11;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
12;aph(2')-Id;0;0;3;3;;;;;;-1;NotInformative
000NTC;aph(2')-Id;0;0;1;1;;;;;;-1;NotInformative
GENO;aph(2')-Id;0;0;2;2;;;;;;-1;NotInformative
10;aadD;1;0;2;3;42.32;;85.18;;1.77;-1;MultipleMeltPeaks
11;aadD;1;0;2;3;37.95;;86.38;;1.7;-1;
12;aadD;0;0;3;3;;;;;;-1;NotInformative
000NTC;aadD;0;0;1;1;;;;;;-1;NotInformative
GENO;aadD;0;0;2;2;;;;;;-1;NotInformative
10;aadA2b;2;0;1;3;36.24;0.23;83.91;0.14;1.82;-1;MultipleMeltPeaks
11;aadA2b;2;0;1;3;37.11;0.34;88.58;0.34;1.85;-1;MultipleMeltPeaks
12;aadA2b;2;1;0;3;32.15;0.21;88.17;2.1;1.84;-1;ContainsOutlierReplicateCt
000NTC;aadA2b;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA2b;0;0;2;2;;;;;;-1;NotInformative
10;aadA9;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
11;aadA9;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
12;aadA9;1;0;2;3;35.42;;89.97;;1.87;-1;MultipleMeltPeaks
000NTC;aadA9;0;0;1;1;;;;;;-1;NotInformative
GENO;aadA9;0;0;2;2;;;;;;-1;NotInformative
10;aphA1;0;0;3;3;;;;;;-1;NotInformative
11;aphA1;0;0;3;3;;;;;;-1;NotInformative
12;aphA1;0;0;3;3;;;;;;-1;NotInformative
000NTC;aphA1;0;0;1;1;;;;;;-1;NotInformative
GENO;aphA1;0;0;2;2;;;;;;-1;NotInformative
10;aadE;1;0;2;3;38.1;;73.55;;1.9;-1;
11;aadE;0;0;3;3;;;;;;-1;NotInformative
12;aadE;1;0;2;3;42.17;;73.93;;1.84;-1;
000NTC;aadE;0;0;1;1;;;;;;-1;NotInformative
GENO;aadE;0;0;2;2;;;;;;-1;NotInformative
10;str;0;0;3;3;;;;;;-1;NotInformative
11;str;0;0;3;3;;;;;;-1;NotInformative
12;str;0;0;3;3;;;;;;-1;NotInformative
000NTC;str;0;0;1;1;;;;;;-1;NotInformative
GENO;str;0;0;2;2;;;;;;-1;NotInformative
10;strA;1;0;2;3;40.29;;86.6;;1.72;-1;
11;strA;1;0;2;3;38.99;;86.6;;1.67;-1;
12;strA;3;0;0;3;39.49;2.07;86.01;0.81;1.7;-1;
000NTC;strA;0;0;1;1;;;;;;-1;NotInformative
GENO;strA;0;0;2;2;;;;;;-1;NotInformative
10;aac3ia;3;0;0;3;29.93;0.07;91.67;0.51;1.88;-1;
11;aac3ia;3;0;0;3;30.99;0.98;91.84;0.63;1.89;-1;
12;aac3ia;2;0;1;3;32.64;0.87;91.41;0.01;1.9;-1;MultipleMeltPeaks
000NTC;aac3ia;0;0;1;1;;;;;;-1;NotInformative
GENO;aac3ia;1;0;1;2;31.64;;76.68;;1.82;-1;
10;aph4ib;3;0;0;3;24.69;0.87;90.92;0.11;1.94;-1;
11;aph4ib;1;0;2;3;25.51;;90.85;;1.96;-1;MultipleMeltPeaks
12;aph4ib;2;0;1;3;24.61;0.45;90.76;0.31;1.96;-1;MultipleMeltPeaks
000NTC;aph4ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aph4ib;0;0;2;2;;;;;;-1;NotInformative
10;aph3via;0;0;3;3;;;;;;-1;NotInformative
11;aph3via;0;0;3;3;;;;;;-1;NotInformative
12;aph3via;1;0;2;3;35.85;;87.92;;1.97;-1;
000NTC;aph3via;1;0;0;1;37.94;;69.26;;1.61;-1;
GENO;aph3via;0;0;2;2;;;;;;-1;NotInformative
10;aph6ic;2;0;1;3;26.73;1.65;89.69;0.19;1.95;-1;MultipleMeltPeaks
11;aph6ic;2;0;1;3;30.44;3.12;89.08;0.89;1.86;-1;MultipleMeltPeaks
12;aph6ic;2;0;1;3;28.65;0.32;91.47;0.5;2;-1;MultipleMeltPeaks
000NTC;aph6ic;0;0;1;1;;;;;;-1;NotInformative
GENO;aph6ic;0;0;2;2;;;;;;-1;NotInformative
10;ArmA;1;0;2;3;39.34;;93.43;;1.98;-1;
11;ArmA;0;0;3;3;;;;;;-1;NotInformative
12;ArmA;0;0;3;3;;;;;;-1;MultipleMeltPeaks, NotInformative
000NTC;ArmA;0;0;1;1;;;;;;-1;NotInformative
GENO;ArmA;2;0;0;2;42.17;1.37;72.55;0.09;1.76;-1;
10;spcN;2;0;1;3;25.91;1.21;91.02;0.64;1.93;-1;MultipleMeltPeaks
11;spcN;2;0;1;3;28.45;0.28;89.28;0.84;1.95;-1;MultipleMeltPeaks
12;spcN;2;0;1;3;26.93;0.89;89.71;1.52;1.95;-1;MultipleMeltPeaks
000NTC;spcN;0;0;1;1;;;;;;-1;NotInformative
GENO;spcN;1;0;1;2;43.36;;77.2;;1.9;-1;
10;spec_aph;2;0;1;3;39.52;3.1;83.88;3.34;1.81;-1;
11;spec_aph;2;0;1;3;30.98;0.22;90;0.28;1.91;-1;MultipleMeltPeaks
12;spec_aph;2;0;1;3;32.69;2.38;87.27;3.35;1.86;-1;MultipleMeltPeaks
000NTC;spec_aph;0;0;1;1;;;;;;-1;NotInformative
GENO;spec_aph;0;0;2;2;;;;;;-1;NotInformative
10;aac(3)-ib;3;0;0;3;32.37;0.38;90.47;0.38;1.83;-1;
11;aac(3)-ib;2;0;1;3;34.88;1.26;91.21;1.34;1.81;-1;
12;aac(3)-ib;2;1;0;3;34.19;0.07;91.25;0.64;1.84;-1;ContainsOutlierReplicateCt
000NTC;aac(3)-ib;0;0;1;1;;;;;;-1;NotInformative
GENO;aac(3)-ib;0;0;2;2;;;;;;-1;NotInformative
10;aac(3)-id_ie;2;0;1;3;38.76;0.36;83.69;5.88;1.88;-1;
11;aac(3)-id_ie;3;0;0;3;34.98;3.56;85.28;0.02;1.78;-1;
12;aac(3)-id_ie;1;0;2;3;31.58;;85.3;;1.91;-1;
000NTC;aac(3)-id_ie;0;0;1;1;;;;;;-1;NotInformative
